_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3182060,325020758,23177680,0,2023-11-08T16:43:00,"300 Block Moore Ave Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,3,5,-79.99301004726036,40.411360091737684
3182061,325021980,23177694,0,2023-11-06T13:23:00,"Forbes Ave & Mc Kee Pl Pittsburgh, PA 15213",N,Central Oakland,4,99,9999 9999 - (Misc. Incident): non reportable vehicle accident,405,3,3,-79.95943525811083,40.43978804304202
3182062,325025014,23177735,27,2023-11-08T18:03:00,"Saw Mill Run Blvd & Whited St Pittsburgh, PA 15210",N,Carrick,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2901,4,3,-79.99821371333422,40.39630513933892
3182063,325027233,23177688,99,2023-11-08T18:55:00,"Frankstown Ave & N Homewood Ave Pittsburgh, PA 15208",Y,Homewood North,5,AIDED CASE,9497 Aided Case,1302,9,2,-79.89630114868066,40.457404658847054
3182064,325031047,23177849,26,2023-11-08T21:38:00,"20 Block Kuhn St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT BY EXTORTION,3923 Theft by Extortion.,1914,2,5,-80.01275551361488,40.42451724464943
3182065,324322512,23172464,10,2023-10-30T07:10:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1303,9,2,-79.90181463020195,40.4566120541176
3182066,324346163,23172635,27,2023-10-29T19:00:00,"Frankstown Ave & N Homewood Ave Pittsburgh, PA 15208",N,Homewood North,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1302,9,2,-79.89630114868066,40.457404658847054
3182067,324355347,23172691,17,2023-10-30T07:40:00,Zone 1,N,,1,SEXUAL ABUSE OF CHILDREN,6312 Sexual Abuse of Children.,,,,,
3182068,324361662,23172714,13,2023-10-30T17:00:00,"400 Block Gilmore Ave Trafford, PA 15085",N,Outside County,OSC,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY),6699,,,,
3182069,324368396,23172812,10,2023-10-30T20:41:00,"10 Block Cannon St Pittsburgh, PA 15205",N,Oakwood,6,TERRORISTIC THREATS,2706 Terroristic Threats.,2812,2,5,-80.06678141346175,40.42789184959178
3182070,324370933,23172841,99,2023-10-30T22:25:00,"100 Block N Craig St Pittsburgh, PA 15213",Y,North Oakland,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,404,,,-79.87838242783407,40.44332100326034
3182071,324376766,23172906,99,2023-10-31T01:48:00,"2900 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,MENTAL 201/302,9498 302 (Mental),2615,6,1,-80.01118366075582,40.470507697797274
3182072,324378912,23172920,99,2023-10-31T03:03:00,"200 Block S Highland Ave Pittsburgh, PA 15232",Y,Shadyside,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,705,8,2,-79.92529613194029,40.45875585891225
3182073,324392793,23172967,99,2023-10-31T07:29:00,"30 Block S 14th St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1702,3,3,-79.98430568173151,40.42909424061503
3182074,324228216,23170727,6,2023-10-27T09:00:00,"Burrows St & Terrace St Pittsburgh, PA 15213",N,West Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,402,6,3,-79.96673126180417,40.44016247620544
3182075,324230973,23171428,99,2023-10-28T11:35:00,"60 Block S 25th St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1609,3,3,-79.96979967647438,40.42842265930933
3182076,324235152,23171512,6,2023-10-28T13:49:00,"1700 Block 5th Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,305,6,3,-79.98248339028213,40.43829758092047
3182077,324236333,23171543,0,2023-10-28T15:25:00,"100 Block Rhine Pl Pittsburgh, PA 15212",Y,Spring Hill-City View,1,99,9999 9999 - (Misc. Incident): Property Dispute,2620,1,1,-79.99204184514898,40.46535964895462
3182078,324238350,23171584,6,2023-10-27T09:30:00,"1800 Block Chessland St Pittsburgh, PA 15205",N,Terrace Village,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,511,2,5,-80.05528248143624,40.43064699760371
3182079,324239841,23171610,6,2023-10-28T17:40:00,"600 Block S Highland Ave Pittsburgh, PA 15232",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle,706,8,2,-79.92461968812952,40.452280636395145
3182080,324240463,23171627,6,2023-10-28T12:40:00,"3300 Block Forbes Ave Pittsburgh, PA 15213",N,South Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,409,3,3,-79.96308127263389,40.437129458761135
3182081,323373701,23164123,10,2023-10-15T22:15:00,"1000 Block 5th Ave Pittsburgh, PA 15219",Y,Central Business District,2,RESIST ARREST/OTHER LAW ENFORC,"5104 Resisting Arrest or Other Law Enforcement. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING",201,6,3,-79.99083372929813,40.43862969649749
3182082,323396177,23164367,6,2023-10-16T12:00:00,"1300 Block Rescue St Pittsburgh, PA 15212",N,Spring Hill-City View,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 4106 Access Device Fraud / 3925 Receiving Stolen Property.,2620,1,1,-79.9922192121857,40.46678330030244
3182083,323458677,23164815,6,2023-10-17T01:51:00,"7300 Block Susquehanna St Pittsburgh, PA 15208",N,Homewood South,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1303,9,2,-79.89643684009889,40.4529830128931
3182084,323507308,23165089,10,2023-10-17T17:05:00,"East Ohio St & Nash St Pittsburgh, PA 15212",Y,East Allegheny,1,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,2304,1,1,-79.99823159790749,40.45389459365243
3182085,324835175,23176519,14,2023-11-06T14:15:00,"James St & Dunloe Ave Pittsburgh, PA 15212",N,Central North Side,1,CRIM MISCHIEF,3304 Criminal Mischief.,2206,1,1,-80.00202342493581,40.45781641588135
3182086,324842383,23176740,0,2023-11-06T23:37:00,"3100 Block Chartiers Ave Pittsburgh, PA 15204",N,Sheraden,6,99,8106 Shots Fired,2022,2,5,-80.0611043000205,40.45387229670828
3182087,324870515,23176911,10,2023-11-05T15:00:00,"20 Block Maytide St Pittsburgh, PA 15227",Y,Carrick,3,HARRASSMENT,2709(a) Harassment. / 2709.A2 HARASSMENT - FOLLOW IN PUBLIC PLACE,2904,4,3,-79.98407819344023,40.384675596751926
3182088,324905388,23177012,0,2023-11-07T13:30:00,"400 Block Moore Ave Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,3,5,-79.99515278572079,40.412006039524705
3182089,324274802,23172302,18,2023-10-29T20:50:00,"2000 Block Wyandotte St Pittsburgh, PA 15219",Y,Crawford-Roberts,2,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant,305,6,3,-79.97759790381808,40.43826361769635
3182090,323878739,23168503,99,2023-10-23T16:56:00,"500 Block North Shore Dr Pittsburgh, PA 15233",N,North Shore,1,AIDED CASE,9497 Aided Case,2205,,,,
3182091,324571775,23174140,0,2023-11-02T08:25:00,"Vensel Way & Embury St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): Dispatch deer,2715,1,1,-80.0291225817028,40.472916290077876
3182092,324937448,23177260,6,2023-11-07T20:20:00,"4500 Block Minerva St Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,802,7,2,-79.95370387704328,40.46072873091626
3182093,324743806,23175119,10,2023-10-30T06:00:00,"60 Block Cortina Way Pittsburgh, PA 15234",N,Overbrook,3,SIMPLE ASSAULT,2701 Simple Assault.,3207,,,,
3182094,324941175,23177263,14,2023-11-07T21:10:00,"2100 Block Wylie Ave Pittsburgh, PA 15219",Y,Middle Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,501,6,3,-79.97924749008516,40.444890276742065
3182095,324946301,23177316,6,2023-11-07T23:30:00,"S 13th St & Fieger St Pittsburgh, PA 15203",Y,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1702,3,3,-79.98540576020977,40.430731731018135
3182096,324946519,23171631,6,2023-10-28T19:10:00,"1000 Block Harker St Pittsburgh, PA 15220",Y,Elliott,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,2020,2,5,-80.0432214603312,40.44249792644841
3182097,324948745,23177359,99,2023-11-08T02:43:00,"4700 Block Interboro Ave Pittsburgh, PA 15207",N,Lincoln Place,4,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,3102,5,3,-79.90936727558716,40.37688311885214
3182098,324871430,23176881,27,2023-11-06T11:20:00,"3200 Block Niagara St Pittsburgh, PA 15213",N,South Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,409,3,3,-79.9604312181213,40.4339267036077
3182099,325044399,23177429,14,2023-11-08T18:00:00,"300 Block S Highland Ave Pittsburgh, PA 15232",N,Shadyside,4,CRIM MISCHIEF,3304 Criminal Mischief.,705,,,,
3182100,325046823,23177997,99,2023-11-09T07:00:00,"100 Block Calhoun Ave Pittsburgh, PA 15210",N,Carrick,3,FOUND PROPERTY,9489 Found Property,2902,4,3,-79.98917018745355,40.40601076525762
3182101,-3712002520,23173047,5,2023-10-31T09:00:00,"7500 Block Bennett St Pittsburgh, PA 15208",N,Homewood South,5,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,1304,9,2,-79.89220741554816,40.45528382554382
3182102,324414962,23173011,6,2023-10-31T09:39:00,"500 Block N Taylor Ave Pittsburgh, PA 15212",Y,Central North Side,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property. / 13(a)(31) Marijuana: Possession Small Amount / 1501 Drivers Required to be Licensed.,2206,1,1,-80.01233900798712,40.45657467249231
3182103,324428291,23173065,99,2023-10-27T10:48:00,"2600 Block Perrysville Br Pittsburgh, PA 15214",N,Perry South,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2615,6,1,-80.00847539788961,40.47114638432227
3182104,324444812,23173236,27,2023-10-31T16:35:00,"Kirkwood St & Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1115,9,2,-79.92235785872315,40.46122401801522
3182105,324446568,23173281,0,2023-10-31T10:45:00,"Forward Ave & Commercial St Pittsburgh, PA 15218",Y,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1408,5,3,-79.9058099276368,40.427660095667775
3182106,324462017,23173492,11,2023-11-01T02:10:00,"100 Block Poplargrove St Pittsburgh, PA 15210",N,Carrick,3,IDENTITY THEFT,4120 Identity Theft,2902,4,3,-79.98645852836628,40.39616848744541
3182107,324479284,23168265,6,2023-10-21T01:48:00,"1800 Block Bentley Dr Pittsburgh, PA 15219",Y,Middle Hill,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,501,6,3,-79.97407657843345,40.44081639092915
3182108,324485311,23173603,6,2023-10-31T16:00:00,"Beatty Sq & Commerce St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,9,2,-79.92769988938458,40.45969430480338
3182109,323833812,23168246,14,2023-10-23T00:05:00,"2100 Block Sidney St Pittsburgh, PA 15203",Y,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1609,3,3,-79.97600225882421,40.429240215096364
3182110,323837106,23168277,0,2023-10-23T10:34:00,"Penelope St Pittsburgh, PA 15211",N,Mount Washington,3,99,9999 9999 - (Misc. Incident): ,1914,2,5,-80.01209155115629,40.42359200181227
3182111,323848069,23168282,6,2023-10-23T10:42:00,"300 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,2304,1,1,-80.00090780760613,40.450893557101246
3182112,323914534,23168826,29,2023-10-24T08:30:00,"1400 Block Chicago St Pittsburgh, PA 15214",N,Northview Heights,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2609,,,,
3182113,324240711,23171643,6,2023-10-28T17:30:00,"Point State Park Pittsburgh, PA 15222",N,Central Oakland,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,405,,,NaN,NaN
3182114,-3708000706,23171706,10,2023-10-28T20:45:00,"3600 Block Forbes Ave Pittsburgh, PA 15213",Y,Central Oakland,4,HARRASSMENT,2709 Harassment (Non-Specific),405,3,3,-79.95744380996236,40.44027243912023
3182115,324247646,23171741,6,2023-10-28T21:30:00,"1800 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,305,6,3,-79.98322028048247,40.44221488797809
3182116,324247763,23171653,0,2023-10-28T19:03:00,"2000 Block Victoria St Arnold, PA 15068",N,Outside County,OSC,99,8104 CLASS 1 - Suspicious Package or Device,6699,,,,
3182117,323888619,23168676,6,2023-10-23T21:00:00,"2500 Block Allequippa St Pittsburgh, PA 15213",N,West Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,402,6,3,-79.96771373707432,40.44112611443261
3182118,323888722,23168656,0,2023-10-23T20:35:00,"Merwyn Ave & Narcissus Ave Pittsburgh, PA 15204",N,Sheraden,6,99,8106 Shots Fired,2018,2,5,-80.04993252321972,40.454951593292755
3182119,-3646531307,23168809,0,2023-10-24T07:52:00,"300 Block Fingal St Pittsburgh, PA 15211",N,Duquesne Heights,3,99,9999 9999 - (Misc. Incident): ,1911,2,5,-80.02737396376385,40.43897765638003
3182120,324206030,23171073,29,2023-10-27T20:10:00,"200 Block Devilliers St Pittsburgh, PA 15219",N,Central Business District,2,RUNAWAYS - JUVENILE,029 Missing Juvenile,201,,,,
3182121,324216547,23171330,14,2023-10-28T05:32:00,"1300 Block Paulson Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,CRIM MISCHIEF,3304 Criminal Mischief.,1203,9,2,-79.90116533720962,40.468626799403125
3182122,324293343,23172442,14,2023-10-30T05:30:00,"1200 Block 5th Ave Pittsburgh, PA 15219",N,Bluff,2,CRIM MISCHIEF,3304 Criminal Mischief.,103,6,3,-79.98845370374711,40.43869325691536
3182123,324417127,23173107,0,2023-10-31T11:00:00,"3400 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,99,9993 PFA Service with Weapons Supplement,506,6,3,-79.9616500933705,40.45485487361505
3182124,324914393,23176949,10,2023-11-07T11:46:00,"Forbes Ave & Stanwix St Pittsburgh, PA 15222",Y,Central Business District,2,RESIST ARREST/OTHER LAW ENFORC,"5104 Resisting Arrest or Other Law Enforcement. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,6,6,-80.00398521602821,40.441169679270885
3182125,324930766,23177154,26,2023-11-07T17:46:00,"300 Block Linnview Ave Pittsburgh, PA 15210",Y,Carrick,3,CONCEALING DEATH BASTARD CHILD,4303 General Lighting Requirements. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 627.02(b)(i) Possessing a small amount of marijuana,2902,4,3,-79.98446684310788,40.40367764721117
3182126,323590984,23165798,99,2023-10-18T21:01:00,"1500 Block Hatteras St Pittsburgh, PA 15212",N,Troy Hill,1,AIDED CASE,9497 Aided Case,2406,1,1,-79.98564876213783,40.46213958869441
3182127,-3708000571,23166295,27,2023-10-19T08:00:00,"2100 Block Shady Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1408,5,3,-79.91875216350888,40.434323372826974
3182128,323662532,23166281,20,2023-10-19T17:28:00,"2700 Block Zephyr Pittsburgh, PA 15204",Y,Sheraden,6,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children.,2018,2,5,-80.0493591472425,40.453029252331625
3182129,323837780,23168301,27,2023-10-23T09:30:00,"1200 Block Straka St Pittsburgh, PA 15204",N,Crafton Heights,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2814,2,5,-80.05616489252937,40.45017808532206
3182130,323839202,23168302,6,2023-10-22T10:00:00,"1500 Block Letort St Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,2703,1,1,-80.03734249515784,40.48000107748024
3182131,323858126,23168362,6,2023-10-23T11:58:00,"5900 Block Centre Ave Pittsburgh, PA 15206",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,705,,,,
3182132,323861566,23168386,6,2023-10-23T00:01:00,"5500 Block Columbo St Pittsburgh, PA 15206",N,Garfield,5,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4101 Forgery. / 3922 Theft by Deception.,1114,9,2,-79.9316706377201,40.46861414460346
3182133,324530445,23173776,0,2023-11-01T13:50:00,"200 Block Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,99,9999 9999 - (Misc. Incident): ,708,5,3,-79.92063686162334,40.430036065319804
3182134,324759027,23176178,6,2023-11-05T23:06:00,"500 Block Mc Clintock Ave Pittsburgh, PA 15214",N,Perry South,1,THEFT FROM AUTO,3934 Theft from Vehicle,2614,,,,
3182135,323417650,23164448,0,2023-10-16T15:00:00,"3500 Block Elmhurst Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9994 PFA Service,2701,1,1,-80.04443332831046,40.480569464759796
3182136,324127135,23170379,6,2023-10-26T16:50:00,"700 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1803,3,5,-79.99548870531873,40.421518980388285
3182137,324137014,23170502,0,2023-10-26T20:40:00,"Gearing Ave & Loyal Way Pittsburgh, PA 15210",N,Beltzhoover,3,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),1809,3,5,-80.00546349959517,40.41876658622719
3182138,324517985,23173670,0,2023-11-01T09:30:00,"300 Block 5th  Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-80.00029037044739,40.440526190504364
3182139,324632877,23174591,0,2023-11-03T00:18:00,"100 Block Bausman St Pittsburgh, PA 15210",N,Knoxville,3,99,9994 PFA Service,3001,,,-79.98798440958119,40.41446289712673
3182140,324633839,23174279,0,2023-11-03T04:53:00,"100 Block Wabash St Pittsburgh, PA 15220",N,West End,6,99,9999 9999 - (Misc. Incident): ,2019,2,5,-80.03456004563895,40.438190895696124
3182141,325055236,23178008,10,2023-11-09T08:05:00,"5th Ave & Seneca St Pittsburgh, PA 15219",N,Bluff,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",103,6,3,-79.97589031441747,40.43815491716252
3182142,325059326,23177991,99,2023-11-09T07:00:00,"800 Block Freeland St Pittsburgh, PA 15210",N,Allentown,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1803,3,5,-79.99364180115597,40.419150905990875
3182143,-3637107363,23166275,6,2023-10-19T17:22:00,"5400 Block Walnut St Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,703,8,2,-79.93546843810113,40.450646430444735
3182144,323722744,23166942,10,2023-10-20T21:07:00,"4700 Block Hatfield Ter Pittsburgh, PA 15201",N,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,,,,
3182145,323985253,23091814,3,2023-10-25T01:45:00,"Liberty Ave & 5th Ave Pittsburgh, PA 15222",Y,Central Business District,2,ROBBERY,3701 Robbery. / 2701 Simple Assault.,201,6,6,-80.0027036132909,40.44169647929672
3182146,324117405,23170252,6,2023-10-26T12:50:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,201,6,6,-79.99740883167522,40.441533222252524
3182147,324121531,23170274,6,2023-10-26T11:19:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central North Side,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 4914 False Identification to Law Enforcement Authorities,201,6,6,-79.99740883167522,40.441533222252524
3182148,323499552,23164914,6,2023-10-17T12:00:00,"700 Block N Homewood Ave Pittsburgh, PA 15208",Y,Homewood South,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 6106 Firearms not to be Carried without a License.,1303,9,2,-79.8966616632168,40.45562602516654
3182149,323615874,23165994,11,2023-10-19T09:00:00,"100 Block Blackhawk St Pittsburgh, PA 15218",N,Swisshelm Park,4,IDENTITY THEFT,4120 Identity Theft,1411,,,,
3182150,323869105,23168425,99,2023-10-23T10:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.0219684615574,40.4512177173984
3182151,323947830,23168963,14,2023-10-24T11:35:00,"500 Block Mt Pleasant Rd Pittsburgh, PA 15214",Y,Northview Heights,1,CRIM MISCHIEF,3304 Criminal Mischief.,2609,,,,
3182152,324248941,23171838,99,2023-10-29T01:10:00,"7th Ave & Smithfield St Pittsburgh, PA 15219",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 3703 Driving Upon Sidewalk.,201,6,6,-79.99684402529861,40.442838204871606
3182153,324252723,23171916,3,2023-10-29T03:30:00,"S 18th St & Sidney St Pittsburgh, PA 15203",N,South Side Flats,3,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3928 Unauthorized Use of Automobile and Other Vehicles.,1702,3,3,-79.98047172937527,40.429686856114635
